year,region,level of qualification,number,percentage
2011,Donegal,No formal education,3013,2.849361187
2011,Donegal,Primary,23348,22.07994855
2011,Donegal,Lower secondary,19522,18.46174215
2011,Donegal,Upper secondary,18293,17.29949027
2011,Donegal,Technical/vocational,8101,7.661027207
2011,Donegal,Advanced certificate/completed apprenticeship,5014,4.741685029
2011,Donegal,Higher certificate,4454,4.212099146
2011,Donegal,Ordinary bachelor degree/professional qualification or both,6101,5.769649055
2011,Donegal,Honours bachelor degree/professional qualification or both,7239,6.845843224
2011,Donegal,Postgraduate diploma or degree,5584,5.280727802
2011,Donegal,Doctorate (Ph.D.),366,0.346122202
2011,Donegal,Not stated,4708,4.452304171
2011,DCSDC,No qualifications,39855,34.75231726
2011,DCSDC,Level 1 qualifications,13383,11.6695587
2011,DCSDC,Level 2 qualifications,16569,14.44765135
2011,DCSDC,Apprenticeship,3916,3.414629893
2011,DCSDC,Level 3 qualifications,13694,11.940741
2011,DCSDC,Level 4 qualifications and above,23263,20.28461062
2011,DCSDC,Other qualifications,4003,3.49049118
2016,Donegal,No formal education,3869,3.695037628
2016,Donegal,Primary,17464,16.6787638
2016,Donegal,Lower secondary,17594,16.80291859
2016,Donegal,Upper secondary,17393,16.61095618
2016,Donegal,Technical/vocational,8496,8.1139932
2016,Donegal,Advanced certificate/completed apprenticeship,5284,5.046414792
2016,Donegal,Higher certificate,5023,4.79715017
2016,Donegal,Ordinary bachelor degree/professional qualification or both,6699,6.397791955
2016,Donegal,Honours bachelor degree/professional qualification or both,8529,8.145509417
2016,Donegal,Postgraduate diploma or degree,6543,6.248806204
2016,Donegal,Doctorate (Ph.D.),474,0.452687474
2016,Donegal,Not stated,7340,7.009970585
