year,region,sector,employed
2011,Donegal,"Agriculture, forestry and fishing",3947
2011,Donegal,Mining and quarrying,194
2011,Donegal,Manufacturing,4297
2011,Donegal,"Electricity, gas, steam and air conditioning supply",266
2011,Donegal,"Water supply; sewerage, waste management and remediation activities",210
2011,Donegal,Construction,3139
2011,Donegal,Wholesale and retail trade; repair of motor vehicles and motorcycles,7795
2011,Donegal,Transportation and storage,1721
2011,Donegal,Accommodation and food service activities,3838
2011,Donegal,Information and communication,1458
2011,Donegal,Financial and insurance activities,1758
2011,Donegal,Real estate activities,168
2011,Donegal,"Professional, scientific and technical activities",1734
2011,Donegal,Administrative and support service activities,1220
2011,Donegal,Public administration and defence; compulsory social security,3950
2011,Donegal,Education,5910
2011,Donegal,Human health and social work activities,6585
2011,Donegal,"Arts, entertainment and recreation",927
2011,Donegal,Other service activities,1307
2011,DCSDC,"Agriculture, forestry and fishing",2404
2011,DCSDC,Mining and quarrying,44
2011,DCSDC,Manufacturing,4910
2011,DCSDC,"Electricity, gas, steam and air conditioning supply",20
2011,DCSDC,"Water supply; sewerage, waste management and remediation activities",419
2011,DCSDC,Construction,3856
2011,DCSDC,Wholesale and retail trade; repair of motor vehicles and motorcycles,11044
2011,DCSDC,Transportation and storage,1599
2011,DCSDC,Accommodation and food service activities,3169
2011,DCSDC,Information and communication,1976
2011,DCSDC,Financial and insurance activities,1235
2011,DCSDC,Real estate activities,864
2011,DCSDC,"Professional, scientific and technical activities",1681
2011,DCSDC,Administrative and support service activities,3330
2011,DCSDC,Public administration and defence; compulsory social security,4744
2011,DCSDC,Education,6437
2011,DCSDC,Human health and social work activities,10477
2011,DCSDC,"Arts, entertainment and recreation",1261
2011,DCSDC,Other service activities,1179
2015,DCSDC,"Agriculture, forestry and fishing",50
2015,DCSDC,Mining and quarrying,70
2015,DCSDC,Manufacturing,5090
2015,DCSDC,"Electricity, gas, steam and air conditioning supply",100
2015,DCSDC,"Water supply; sewerage, waste management and remediation activities",420
2015,DCSDC,Construction,2240
2015,DCSDC,Wholesale and retail trade; repair of motor vehicles and motorcycles,9280
2015,DCSDC,Transportation and storage,1380
2015,DCSDC,Accommodation and food service activities,3410
2015,DCSDC,Information and communication,1870
2015,DCSDC,Financial and insurance activities,1150
2015,DCSDC,Real estate activities,500
2015,DCSDC,"Professional, scientific and technical activities",1240
2015,DCSDC,Administrative and support service activities,3260
2015,DCSDC,Public administration and defence; compulsory social security,3790
2015,DCSDC,Education,6040
2015,DCSDC,Human health and social work activities,11600
2015,DCSDC,"Arts, entertainment and recreation",1260
2015,DCSDC,Other service activities,880
2017,DCSDC,"Agriculture, forestry and fishing",90
2017,DCSDC,Mining and quarrying,60
2017,DCSDC,Manufacturing,5710
2017,DCSDC,"Electricity, gas, steam and air conditioning supply",170
2017,DCSDC,"Water supply; sewerage, waste management and remediation activities",510
2017,DCSDC,Construction,2640
2017,DCSDC,Wholesale and retail trade; repair of motor vehicles and motorcycles,9530
2017,DCSDC,Transportation and storage,1500
2017,DCSDC,Accommodation and food service activities,3480
2017,DCSDC,Information and communication,2030
2017,DCSDC,Financial and insurance activities,1140
2017,DCSDC,Real estate activities,450
2017,DCSDC,"Professional, scientific and technical activities",1400
2017,DCSDC,Administrative and support service activities,3970
2017,DCSDC,Public administration and defence; compulsory social security,3670
2017,DCSDC,Education,5830
2017,DCSDC,Human health and social work activities,11310
2017,DCSDC,"Arts, entertainment and recreation",1300
2017,DCSDC,Other service activities,1040
