year,region,employees,number of firms
2015,Donegal,1 - 9,6840
2015,Donegal,10 - 19,363
2015,Donegal,20 - 49,175
2015,Donegal,50 - 249,73
2015,Donegal,250+,3
2016,DCSDC,1 - 9,4270
2016,DCSDC,10 - 19,315
2016,DCSDC,20 - 49,145
2016,DCSDC,50 - 249,70
2016,DCSDC,250+,20
2016,Donegal,1 - 9,6962
2016,Donegal,10 - 19,375
2016,Donegal,20 - 49,198
2016,Donegal,50 - 249,77
2016,Donegal,250+,4
2017,DCSDC,0,20
2017,DCSDC,1 - 9,4345
2017,DCSDC,10 - 19,320
2017,DCSDC,20 - 49,165
2017,DCSDC,50 - 249,75
2017,DCSDC,250+,20
