Year,Business,Active Enterprise (Number),Persons Engaged (Number),Employees (Number)
2008,Mining and quarrying (B),35,255,237
2008,Manufacturing (C),548,5093,4788
2008,"Electricity, gas, steam and air conditioning supply (D)",,,
2008,"Water supply, sewerage, waste management and remediation activities (E)",,,
2008,Construction (F),2921,7121,4933
2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",1662,8799,7761
2008,Transportation and storage (H),649,1538,977
2008,Accommodation and food service activities (I),865,6178,5449
2008,Information and communication (J),158,1169,1094
2008,Financial and insurance activities excluding activities of holding companies (K-642),106,374,319
2008,Real estate activities (L),272,479,293
2008,"Professional, scientific and technical activities (M)",647,1786,1235
2008,Administrative and support service activities (N),402,1478,1170
2008,Education (P),324,2228,2113
2008,"ICT services (261 to 264,268,465,582,61,62,631)",114,915,862
2008,"Business economy excluding activities of holding companies (B to N,-642)",8298,34425,28397
2009,Mining and quarrying (B),29,166,156
2009,Manufacturing (C),541,4558,4252
2009,"Electricity, gas, steam and air conditioning supply (D)",12,10,6
2009,"Water supply, sewerage, waste management and remediation activities (E)",27,140,128
2009,Construction (F),2587,4642,2871
2009,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",1666,8016,6981
2009,Transportation and storage (H),664,1461,892
2009,Accommodation and food service activities (I),852,5741,5041
2009,Information and communication (J),160,1060,988
2009,Financial and insurance activities excluding activities of holding companies (K-642),103,338,292
2009,Real estate activities (L),302,408,228
2009,"Professional, scientific and technical activities (M)",650,1608,1063
2009,Administrative and support service activities (N),408,1255,941
2009,Education (P),323,2218,2009
2009,"ICT services (261 to 264,268,465,582,61,62,631)",117,925,874
2009,"Business economy excluding activities of holding companies (B to N,-642)",8001,29403,23839
2010,Mining and quarrying (B),29,142,130
2010,Manufacturing (C),530,4524,4236
2010,"Electricity, gas, steam and air conditioning supply (D)",15,15,13
2010,"Water supply, sewerage, waste management and remediation activities (E)",28,152,139
2010,Construction (F),2242,3537,1999
2010,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",1615,7638,6649
2010,Transportation and storage (H),671,1447,875
2010,Accommodation and food service activities (I),835,5536,4860
2010,Information and communication (J),168,1168,1092
2010,Financial and insurance activities excluding activities of holding companies (K-642),107,340,293
2010,Real estate activities (L),334,453,242
2010,"Professional, scientific and technical activities (M)",657,1489,936
2010,Administrative and support service activities (N),383,947,658
2010,Education (P),349,2193,2054
2010,"ICT services (261 to 264,268,465,582,61,62,631)",120,995,945
2010,"Business economy excluding activities of holding companies (B to N,-642)",7614,27388,22122
2011,Mining and quarrying (B),29,174,163
2011,Manufacturing (C),535,4571,4281
2011,"Electricity, gas, steam and air conditioning supply (D)",17,18,16
2011,"Water supply, sewerage, waste management and remediation activities (E)",31,173,157
2011,Construction (F),2103,3259,1805
