Year,Region,HPI
2005,DCSDC,108.5936913
2006,DCSDC,143.0040476
2007,DCSDC,183.228524
2008,DCSDC,161.4965184
2009,DCSDC,128.0691648
2010,DCSDC,116.9669912
2011,DCSDC,103.9816953
2012,DCSDC,94.31835627
2013,DCSDC,89.88877671
2014,DCSDC,94.4718386
2015,DCSDC,101.6255294
2016,DCSDC,110.0689054
2005,NI,107.9378086
2006,NI,138.7216003
2007,NI,192.5907008
2008,NI,159.1077847
2009,NI,127.441964
2010,NI,118.7342116
2011,NI,104.3683986
2012,NI,92.71475006
2013,NI,90.07163011
2014,NI,97.00450715
2015,NI,104.0543004
2016,NI,110.8279253
