Region,Border Region (Excl. Louth),Ireland,DCSDC,NI
Year,Residential Property Price Index ,Residential Property Price Index ,House Price Index,House Price Index
2005,NA,105.9,108.5936913,107.9378086
2006,NA,122,143.0040476,138.7216003
2007,NA,131.5,183.228524,192.5907008
2008,NA,123,161.4965184,159.1077847
2009,NA,100.9,128.0691648,127.441964
2010,91.3,88,116.9669912,118.7342116
2011,76,73,103.9816953,104.3683986
2012,64.2,63.4,94.31835627,92.71475006
2013,58.9,64.1,89.88877671,90.07163011
2014,60.4,74.3,94.4718386,97.00450715
2015,62.9,82.8,101.6255294,104.0543004
2016,70.2,88.9,110.0689054,110.8279253
